House Vote #601 2019-10-30T17:54:00 - On Motion to Recommit with Instructions: H.R. 1373: Grand Canyon Centennial Protection Act
person,state,district,vote,name,party
412722,PA,11,Aye,"Rep. Lloyd Smucker [R, 2019-2024]",Republican
412724,TN,8,Aye,"Rep. David Kustoff [R, 2017-2024]",Republican
412725,TX,15,No,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat
412726,TX,19,Aye,"Rep. Jodey Arrington [R, 2017-2024]",Republican
412728,VA,4,Not Voting,"Rep. Donald McEachin [D, 2017-2022]",Democrat
412730,WA,7,No,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat
412731,WI,8,Aye,"Rep. Mike Gallagher [R, 2017-2024]",Republican
412732,WY,0,Aye,"Rep. Liz Cheney [R, 2017-2022]",Republican
412735,KS,4,Aye,"Rep. Ron Estes [R, 2017-2024]",Republican
412736,MT,0,Aye,"Rep. Greg Gianforte [R, 2017-2020]",Republican
412738,SC,5,Aye,"Rep. Ralph Norman [R, 2017-2024]",Republican
412739,CA,34,No,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat
412740,UT,3,Aye,"Rep. John Curtis [R, 2017-2024]",Republican
412744,PA,17,No,"Rep. Conor Lamb [D, 2019-2022]",Democrat
412745,AZ,8,Aye,"Rep. Debbie Lesko [R, 2018-2024]",Republican
412746,TX,27,Aye,"Rep. Michael Cloud [R, 2018-2024]",Republican
412747,OH,12,Aye,"Rep. Troy Balderson [R, 2018-2024]",Republican
412748,OK,1,Aye,"Rep. Kevin Hern [R, 2018-2024]",Republican
412749,NY,25,No,"Rep. Joseph Morelle [D, 2018-2024]",Democrat
412750,PA,5,No,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat
412751,PA,7,No,"Rep. Susan Wild [D, 2019-2024]",Democrat
412753,AZ,9,No,"Rep. Greg Stanton [D, 2019-2022]",Democrat
412754,CA,10,No,"Rep. Josh Harder [D, 2019-2022]",Democrat
